ID_Client,Age,Sexe,Revenu_Annuel,Fréquence_Achat_Mois,Panier_Moyen,Nombre_Commandes,Score_Fidélité,Interactions_RéseauxSociaux,Participation_Programme_Fidélité,Nombre_Retours,Ancienneté_Client,Score_Satisfaction,Nombre_Visites_Site_Web,Dernier_Achat,Total_Dépensé,Type_Produit_Préféré,Panier_Abandonné
69457,31,1,68964,8,317.4,21,61,234,Non,3,1,11,161,2023-05-15 01:15:56.181747,51528.516,Vélos,1
74173,38,0,41949,2,374.92,32,96,568,Oui,0,10,29,283,2024-03-26 01:15:56.181747,5921.687999999999,GPS,0
13441,75,0,48367,2,385.92,28,95,806,Oui,0,2,45,286,2023-08-07 01:15:56.181747,21738.024,Snacks,0
55489,48,0,90463,2,318.0,44,82,646,Non,5,8,78,219,2023-09-10 01:15:56.181747,41604.42,Accessoires,1
99037,36,0,28993,0,62.16,24,77,963,Non,5,6,85,213,2025-03-21 01:15:56.181747,34682.4,Boissons,1
20209,44,0,60136,1,20.14,43,80,532,Oui,3,5,91,170,2025-02-01 01:15:56.181747,5485.392,Casque audio,2
32629,44,1,23999,10,221.41,17,99,749,Non,4,10,69,247,2024-10-28 01:15:56.181747,965.652,Casque audio,1
35187,71,1,44748,3,195.35,20,92,637,Oui,9,10,42,176,2023-07-20 01:15:56.181747,19761.984,Boissons,3
40484,25,0,97462,10,447.48,5,98,635,Non,0,7,22,275,2023-05-06 01:15:56.181747,75120.9,Casque audio,3
7850,42,0,87050,2,260.52,38,86,968,Oui,7,7,81,234,2023-05-14 01:15:56.181747,40838.268,Chaussures,4
6285,68,0,92321,0,145.5,49,86,743,Oui,4,8,72,256,2023-12-08 01:15:56.181747,15175.752,Ustensiles de cuisine,3
86835,69,1,84515,10,17.47,2,97,326,Oui,2,8,94,165,2025-02-16 01:15:56.181747,34000.691999999995,GPS,1
66560,33,1,51149,10,383.03,39,92,59,Oui,0,5,81,235,2025-02-02 01:15:56.181747,9870.516,Boissons,0
91302,62,0,70177,0,319.46,25,90,945,Oui,10,8,3,181,2024-09-19 01:15:56.181747,70025.50799999999,Linge de maison,2
3903,23,0,16266,8,207.09,22,90,214,Oui,7,9,62,102,2024-04-18 01:15:56.181747,3748.476,Équipements de sport,2
